Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-12-03,30.69,32.0,32.13,30.13,544.33M,-4.48%,30.69,544330000.0,32.117000000000004,26.0482,-0.04481792717086841,0.03758078642641185,51.0344827586207,1.6217123141530507,33.60377818530202,28.77422181469798
2021-12-06,30.04,29.88,30.24,28.04,658.94M,-2.12%,30.04,658940000.0,31.823,26.207400000000003,-0.021179537308569585,0.03459703997590084,50.06765899864682,1.3882477952060235,33.5851515720244,28.821848427975596
2021-12-07,32.43,30.96,32.45,30.65,593.05M,7.96%,32.43,593050000.0,31.869999999999997,26.4228,0.07956058588548598,0.04328318227510206,56.56268393172454,1.3801687812708217,33.71948470717597,28.850515292824035
2021-12-08,31.83,32.0,32.29,31.42,475.55M,-1.85%,31.83,475550000.0,31.877999999999997,26.6454,-0.018501387604070385,0.04371678610582298,57.717717717717704,1.3102474024751984,33.77096803328726,28.916031966712726
2021-12-09,30.49,31.73,32.2,30.43,488.51M,-4.21%,30.49,488510000.0,31.659999999999997,26.8448,-0.04209864907320138,0.044451851184033074,46.17854849068722,1.1336395142167994,33.69455144367445,29.09544855632555
2021-12-10,30.2,31.15,31.3,29.86,488.83M,-0.95%,30.2,488830000.0,31.529999999999994,27.034399999999994,-0.009511315185306679,0.04325463351167809,40.45329670329672,0.9592186386386636,33.70402471242065,29.066975287579353
2021-12-13,28.16,30.25,30.29,28.12,598.34M,-6.75%,28.16,598340000.0,31.008,27.182799999999997,-0.06754966887417213,0.04131231282952951,37.8048780487805,0.6488977972183179,33.97675025619616,28.57124974380384
2021-12-14,28.34,27.7,28.68,27.25,667.04M,0.64%,28.34,667040000.0,30.574,27.355,0.006392045454545414,0.04185678838361501,39.03536977491962,0.4127330605246726,34.1491179340081,28.23088206599189
2021-12-15,30.46,28.4,30.5,27.84,698.30M,7.48%,30.46,698300000.0,30.477000000000004,27.5552,0.0748059280169373,0.04904123977730903,43.402985074626876,0.3921170068698281,34.14604604109416,28.259953958905847
2021-12-16,28.39,31.15,31.16,28.09,707.37M,-6.80%,28.39,707370000.0,30.102999999999998,27.709,-0.06795797767564016,0.052261363533351236,41.189801699716725,0.20636805307335493,34.24570342475142,28.073296575248587
2021-12-17,27.8,27.98,28.92,27.76,716.62M,-2.08%,27.8,716620000.0,29.814,27.843600000000002,-0.020781965480803133,0.05107688874811105,32.94621026894866,0.011420946217729266,34.38386202696093,27.54713797303907
2021-12-20,27.72,27.3,28.14,27.14,461.85M,-0.29%,27.72,461850000.0,29.582,27.981399999999997,-0.0028776978417266452,0.05090694117431553,34.24396442185514,-0.1478273106773358,34.27421269546521,27.130787304534785
2021-12-21,29.07,28.37,29.12,27.4,524.38M,4.87%,29.07,524380000.0,29.246000000000002,28.1488,0.04870129870129869,0.04576200964688272,42.55050505050505,-0.16321751410591645,34.14929122065852,26.966708779341484
2021-12-22,29.4,28.89,29.55,28.45,395.18M,1.14%,29.4,395180000.0,29.002999999999997,28.323400000000003,0.011351909184726505,0.04611369619453436,41.17647058823528,-0.14709055081941358,34.021340683415005,26.859659316585002
2021-12-23,29.64,29.75,30.06,29.43,343.02M,0.82%,29.64,343020000.0,28.918,28.4974,0.008163265306122547,0.04457063848903095,46.32095304835319,-0.11363392088475521,33.72618305715902,26.851816942840973
2021-12-27,30.95,29.66,31.09,29.64,403.69M,4.42%,30.95,403690000.0,28.993000000000002,28.6814,0.04419703103913619,0.046738349185374194,53.04755525787006,0.018374936424564225,33.666538217576694,26.856461782423295
2021-12-28,30.32,31.31,31.33,30.01,420.59M,-2.04%,30.32,420590000.0,29.209000000000003,28.850600000000004,-0.020355411954765756,0.04077553926640238,41.98936977980258,0.07133486808941925,33.18243301985035,27.034566980149645
2021-12-29,30.0,30.27,30.55,29.37,343.14M,-1.06%,30.0,343140000.0,29.375,29.0062,-0.01055408970976257,0.041207208097995704,42.901474010861136,0.08648769354662278,32.80006356744707,27.14893643255293
2021-12-30,29.59,29.83,30.46,29.54,308.86M,-1.37%,29.59,308860000.0,29.288,29.152200000000004,-0.013666666666666716,0.0337229164524202,46.23745819397994,0.06466739789575016,32.627185774364705,27.137814225635296
2021-12-31,29.41,29.67,30.03,29.33,266.53M,-0.61%,29.41,266529999.99999997,29.389999999999997,29.2984,-0.006083136194660388,0.024866900319601957,46.666666666666664,0.03247579990266303,32.28401868025273,27.208981319747267
2022-01-03,30.12,29.82,30.71,29.79,392.40M,2.41%,30.12,392400000.0,29.621999999999996,29.447,0.024141448486909134,0.023972450371965458,59.31558935361217,0.06352254449608452,32.22350215578266,27.21249784421734
2022-01-04,29.29,30.28,30.47,28.35,527.15M,-2.76%,29.29,527150000.0,29.779000000000003,29.578200000000002,-0.027556440903054535,0.026398723410275052,54.252461951656215,0.020912187188983467,32.188159634421154,27.172840365578846
2022-01-05,27.6,28.95,29.42,27.53,498.06M,-5.77%,27.6,498060000.0,29.631999999999998,29.666800000000002,-0.0576988733356093,0.028555477282928003,36.68528864059591,-0.14752512622472125,31.754712008273724,27.123287991726276
2022-01-06,28.18,27.64,28.44,27.07,454.19M,2.10%,28.18,454190000.0,29.51,29.736,0.021014492753623104,0.029316325893014153,48.864864864864856,-0.23154267803061757,31.342748458736143,27.17025154126387
2022-01-07,27.25,28.14,28.42,27.06,409.94M,-3.30%,27.25,409940000.0,29.271000000000004,29.791999999999998,-0.03300212916962386,0.030316714187491135,47.13242961418143,-0.3689177664479928,31.2783495706821,26.910650429317908
2022-01-10,27.4,26.58,27.47,25.64,594.68M,0.55%,27.4,594680000.0,28.916000000000004,29.8412,0.005504587155963359,0.024907467539147982,48.343685300207035,-0.4603778184394045,31.198129343625837,26.71087065637417
2022-01-11,27.82,27.32,28.07,26.84,404.09M,1.53%,27.82,404090000.0,28.666000000000004,29.8862,0.01532846715328473,0.026078281231442818,42.84077892325315,-0.49328380996043464,31.211424268516282,26.663575731483718
2022-01-12,28.0,28.07,28.59,27.61,383.41M,0.65%,28.0,383410000.0,28.465999999999998,29.9296,0.006470165348670065,0.02646450240675233,41.841491841491845,-0.49908441516966917,31.21819197697441,26.622808023025584
2022-01-13,26.57,28.38,28.48,26.5,538.87M,-5.11%,26.57,538870000.0,28.163999999999998,29.932999999999996,-0.051071428571428545,0.029989939610628454,34.28863868986693,-0.6120155512718384,31.131050825592705,26.320949174407293
2022-01-14,26.94,26.3,27.2,26.21,395.83M,1.39%,26.94,395830000.0,27.917,29.9398,0.013925479864508983,0.03095415439923384,27.29331823329558,-0.6640041558957925,31.18527927864761,26.121720721352386
2022-01-18,25.9,26.26,26.64,25.77,425.31M,-3.86%,25.9,425310000.0,27.494999999999997,29.861800000000002,-0.03860430586488506,0.029993216505524497,26.082251082251076,-0.7801319326707343,31.35397962178039,25.763020378219615
2022-01-19,25.07,26.08,26.54,25.05,488.31M,-3.20%,25.07,488310000.0,27.073,29.7682,-0.032046332046332004,0.030241812376031983,24.717948717948715,-0.9284356673785013,31.61265903250938,25.239340967490616
2022-01-20,24.15,25.3,25.58,24.08,435.18M,-3.67%,24.15,435180000.0,26.728,29.6352,-0.03669724770642213,0.02755868572247821,23.489278752436647,-1.1074379020654597,31.876211431637582,24.48378856836241
2022-01-21,23.37,23.51,24.82,23.26,718.96M,-3.23%,23.37,718960000.0,26.247000000000003,29.4894,-0.032298136645962594,0.025331800530868216,22.19152854511971,-1.2972836654006485,32.1018450199924,23.655154980007588
